淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
33117,30050,3067,20210105,01
33749,30633,3116,20210112,01
33148,29990,3158,20210119,01
33152,29933,3219,20210126,01
32772,29726,3046,20210202,02
28994,26114,2880,20210209,02
27716,24715,3001,20210216,02
33028,29919,3109,20210223,02
32637,29416,3221,20210302,03
32995,29947,3048,20210309,03
33771,30684,3087,20210316,03
33263,29726,3537,20210323,03
35318,32056,3262,20210330,03
33031,29830,3201,20210406,04
34818,31623,3195,20210413,04
34546,31332,3214,20210420,04
35241,31767,3474,20210427,04
36402,33042,3360,20210504,05
39604,35993,3611,20210511,05
40383,37288,3095,20210518,05
40090,37293,2797,20210525,05
37652,34090,3562,20210601,06
38636,34861,3775,20210608,06
40967,37217,3750,20210615,06
39100,35511,3589,20210622,06
40538,35256,5282,20210629,06
41376,37452,3924,20210706,07
41471,38599,2872,20210713,07
42038,37996,4042,20210720,07
42794,38844,3950,20210727,07
41033,35442,5591,20210803,08
41199,36302,4897,20210810,08
42096,37703,4393,20210817,08
41885,37902,3983,20210824,08
42179,37350,4829,20210831,08
42118,38275,3843,20210907,09
42019,38061,3958,20210914,09
38016,31460,6556,20210921,09
42230,36962,5268,20210928,09
40361,37691,2670,20211005,10
38428,36044,2384,20211012,10
38272,32770,5502,20211019,10
35792,32321,3471,20211026,10
34776,31827,2949,20211102,11
34155,30241,3914,20211109,11
35096,31197,3899,20211116,11
34242,30206,4036,20211123,11
34452,30445,4007,20211130,11
33105,30264,2841,20211207,12
33801,30751,3050,20211214,12
33610,30748,2862,20211221,12
33225,29973,3252,20211228,12
32950,30330,2620,20220104,01
32878,30464,2414,20220111,01
33034,30609,2425,20220118,01
32970,30007,2963,20220125,01
27302,22881,4421,20220201,02
33384,29989,3395,20220208,02
33475,30598,2877,20220215,02
33580,30977,2603,20220222,02
