淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
33429,30327,3102,20210106,01
33108,29994,3114,20210113,01
33134,29984,3150,20210120,01
32652,29588,3064,20210127,01
32629,29623,3006,20210203,02
27257,24370,2887,20210210,02
30715,27891,2824,20210217,02
33080,30031,3049,20210224,02
32752,29677,3075,20210303,03
32961,29906,3055,20210310,03
33899,30716,3183,20210317,03
33109,30050,3059,20210324,03
35323,32094,3229,20210331,03
33132,29885,3247,20210407,04
33845,30610,3235,20210414,04
35186,31884,3302,20210421,04
34680,31511,3169,20210428,04
36254,32676,3578,20210505,05
40329,36660,3669,20210512,05
40454,37574,2880,20210519,05
39511,37123,2388,20210526,05
39679,35690,3989,20210602,06
39244,35330,3914,20210609,06
40511,36796,3715,20210616,06
37714,33813,3901,20210623,06
42129,36142,5987,20210630,06
41532,37733,3799,20210707,07
41831,37999,3832,20210714,07
42806,37330,5476,20210721,07
41670,38637,3033,20210728,07
40476,35981,4495,20210804,08
42443,36468,5975,20210811,08
41137,36773,4364,20210818,08
42436,38485,3951,20210825,08
41585,37736,3849,20210901,09
42350,38490,3860,20210908,09
42217,38318,3899,20210915,09
41725,37909,3816,20210922,09
42005,37162,4843,20210929,09
39916,37589,2327,20211006,10
37921,35349,2572,20211013,10
38324,33294,5030,20211020,10
36221,32306,3915,20211027,10
36321,32115,4206,20211103,11
33811,30125,3686,20211110,11
35310,31451,3859,20211117,11
34321,30463,3858,20211124,11
34388,29832,4556,20211201,12
34530,30286,4244,20211208,12
33678,30992,2686,20211215,12
33818,30761,3057,20211222,12
32720,29913,2807,20211229,12
32961,30449,2512,20220105,01
32426,30206,2220,20220112,01
33319,30317,3002,20220119,01
32599,30050,2549,20220126,01
26200,22967,3233,20220202,02
33102,30269,2833,20220209,02
34156,30491,3665,20220216,02
33885,31318,2567,20220223,02
