淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
33602,30500,3102,20210107,01
33153,30021,3132,20210114,01
33359,30285,3074,20210121,01
32843,29557,3286,20210128,01
32787,29655,3132,20210204,02
24966,22133,2833,20210211,02
31440,28533,2907,20210218,02
33100,30072,3028,20210225,02
32873,29785,3088,20210304,03
33116,30040,3076,20210311,03
33938,30724,3214,20210318,03
33126,29854,3272,20210325,03
35475,32005,3470,20210401,04
33381,30083,3298,20210408,04
33900,30692,3208,20210415,04
36050,32765,3285,20210422,04
33519,30223,3296,20210429,04
36541,33076,3465,20210506,05
40387,36705,3682,20210513,05
40017,37447,2570,20210520,05
40545,38022,2523,20210527,05
40383,36584,3799,20210603,06
39540,35791,3749,20210610,06
41733,37900,3833,20210617,06
38510,33816,4694,20210624,06
42878,36840,6038,20210701,07
41795,37990,3805,20210708,07
41811,37798,4013,20210715,07
41895,36495,5400,20210722,07
41965,38131,3834,20210729,07
39869,35343,4526,20210805,08
42672,36722,5950,20210812,08
42449,37536,4913,20210819,08
42459,37972,4487,20210826,08
42067,37800,4267,20210902,09
42075,38173,3902,20210909,09
42354,37513,4841,20210916,09
41194,38061,3133,20210923,09
42445,37233,5212,20210930,09
39332,37703,1629,20211007,10
37734,34850,2884,20211014,10
38850,32810,6040,20211021,10
38642,31825,6817,20211028,10
36217,32450,3767,20211104,11
34089,30232,3857,20211111,11
34746,31280,3466,20211118,11
34715,30778,3937,20211125,11
33971,30150,3821,20211202,12
34119,30863,3256,20211209,12
33884,31020,2864,20211216,12
33440,31017,2423,20211223,12
33412,29036,4376,20211230,12
33485,30276,3209,20220106,01
32642,30167,2475,20220113,01
33281,30620,2661,20220120,01
32870,29406,3464,20220127,01
27091,23955,3136,20220203,02
33351,30379,2972,20220210,02
33843,30800,3043,20220217,02
33609,31098,2511,20220224,02
