淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
28487,25720,2767,20210101,01
33518,30412,3106,20210108,01
32864,29555,3309,20210115,01
33192,30095,3097,20210122,01
32472,29269,3203,20210129,01
32351,29291,3060,20210205,02
24905,21913,2992,20210212,02
31512,28627,2885,20210219,02
32780,29739,3041,20210226,02
33137,29869,3268,20210305,03
33200,29928,3272,20210312,03
34002,30865,3137,20210319,03
33208,29929,3279,20210326,03
32253,29093,3160,20210402,04
32687,29476,3211,20210409,04
33989,30669,3320,20210416,04
35469,32135,3334,20210423,04
31458,28400,3058,20210430,04
37704,34186,3518,20210507,05
40397,37053,3344,20210514,05
40561,37679,2882,20210521,05
40727,38401,2326,20210528,05
40193,36467,3726,20210604,06
39017,36117,2900,20210611,06
41932,38084,3848,20210618,06
39226,33637,5589,20210625,06
42127,37525,4602,20210702,07
42021,38163,3858,20210709,07
41768,37533,4235,20210716,07
41423,35766,5657,20210723,07
40884,37051,3833,20210730,07
38593,33956,4637,20210806,08
41870,36389,5481,20210813,08
42372,37253,5119,20210820,08
42580,37792,4788,20210827,08
41827,37858,3969,20210903,09
42040,38737,3303,20210910,09
42107,37460,4647,20210917,09
42195,37738,4457,20210924,09
40465,37290,3175,20211001,10
39454,37600,1854,20211008,10
39149,36341,2808,20211015,10
35137,31238,3899,20211022,10
36669,31257,5412,20211029,10
36120,33302,2818,20211105,11
34264,29946,4318,20211112,11
37044,31340,5704,20211119,11
34263,30174,4089,20211126,11
34641,29675,4966,20211203,12
33948,30417,3531,20211210,12
36586,29970,6616,20211217,12
33391,30200,3191,20211224,12
30370,26443,3927,20211231,12
32972,29962,3010,20220107,01
32524,29843,2681,20220114,01
32922,30743,2179,20220121,01
32353,27653,4700,20220128,01
28268,24691,3577,20220204,02
33508,30165,3343,20220211,02
33809,30625,3184,20220218,02
33527,30121,3406,20220225,02
