淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
28421,25485,2936,20210102,01
31269,28068,3201,20210109,01
30167,27121,3046,20210116,01
30421,27218,3203,20210123,01
30109,26662,3447,20210130,01
29743,26677,3066,20210206,02
24980,21956,3024,20210213,02
30367,27392,2975,20210220,02
29214,26456,2758,20210227,02
29717,26912,2805,20210306,03
29872,26797,3075,20210313,03
30585,27747,2838,20210320,03
30894,27693,3201,20210327,03
30687,27630,3057,20210403,04
29983,27017,2966,20210410,04
30434,27551,2883,20210417,04
31402,28413,2989,20210424,04
30174,27290,2884,20210501,05
33644,30339,3305,20210508,05
37464,33957,3507,20210515,05
37526,33873,3653,20210522,05
36478,31488,4990,20210529,05
34041,30054,3987,20210605,06
36236,33190,3046,20210612,06
38517,33832,4685,20210619,06
34931,30728,4203,20210626,06
38095,33769,4326,20210703,07
38367,34556,3811,20210710,07
38029,33916,4113,20210717,07
35354,30981,4373,20210724,07
36626,31425,5201,20210731,07
33128,29690,3438,20210807,08
37944,32580,5364,20210814,08
38324,33588,4736,20210821,08
39634,34306,5328,20210828,08
38206,33066,5140,20210904,09
40446,36726,3720,20210911,09
38292,33683,4609,20210918,09
38991,33643,5348,20210925,09
38793,33558,5235,20211002,10
38544,33404,5140,20211009,10
38048,32385,5663,20211016,10
33201,28517,4684,20211023,10
31941,28135,3806,20211030,10
35347,29876,5471,20211106,11
32410,27293,5117,20211113,11
32372,28278,4094,20211120,11
31417,27690,3727,20211127,11
31522,27104,4418,20211204,12
31070,27797,3273,20211211,12
31221,26942,4279,20211218,12
30323,27288,3035,20211225,12
29007,25661,3346,20220101,01
30503,27356,3147,20220108,01
30085,27792,2293,20220115,01
32518,29486,3032,20220122,01
29565,26219,3346,20220129,01
28246,25315,2931,20220205,02
30938,28017,2921,20220212,02
31380,28391,2989,20220219,02
31259,27822,3437,20220226,02
